Name,Category,Severity,Resource Display Name,Resource Path,Resource Type
organizations/742653001909/sources/3344967813459848552/locations/global/findings/283fd2ed743acbce4dd3d7014847e0f6,COMPUTE_PROJECT_WIDE_SSH_KEYS_ALLOWED,3,ssc-vm,//compute.googleapis.com/projects/ssc-project-999/zones/asia-south1-c/instances/ssc-vm,GCE Instance
organizations/742653001909/sources/3344967813459848552/locations/global/findings/284cc0eb1628429e5c2f5bec8a9e2a3d,OPEN_FIREWALL,2,test-vpc-allow-http,//compute.googleapis.com/projects/agentic-9999/global/firewalls/test-vpc-allow-http,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/285402ded3ac3bf2fd3c29abc505bd21,COMPUTE_PROJECT_WIDE_SSH_KEYS_ALLOWED,3,db-vm,//compute.googleapis.com/projects/load-balancer-service-project/zones/europe-west1-d/instances/db-vm,GCE Instance
organizations/742653001909/sources/3344967813459848552/locations/global/findings/289f0bcde7f09d5c0cdc5652d4a20d17,OPEN_ELASTICSEARCH_PORT,2,anywhere,//compute.googleapis.com/projects/load-balancer-host-project/global/firewalls/anywhere,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/291cc73b915730f7dc46ff81d0689b5e,NETWORK_NOT_MONITORED,4,831414143527,//cloudresourcemanager.googleapis.com/projects/831414143527,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/2976bdb6cf7bc59b0307b6b84efc8e9a,LOG_NOT_EXPORTED,4,298108061330,//cloudresourcemanager.googleapis.com/projects/298108061330,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/29d643190e5b91974b830afeb95fc4b3,OPEN_MONGODB_PORT,2,allow-any-traffic,//compute.googleapis.com/projects/load-balancer-host-project/global/firewalls/allow-any-traffic,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/2a3af98a8b26355f7f17cd91c7d41216,MASTER_AUTHORIZED_NETWORKS_DISABLED,3,cluster1,//container.googleapis.com/projects/load-balancer-host-project/locations/us-central1/clusters/cluster1,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/2afc11bbd4703726ffb4c0af1778567f,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/australia-southeast1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/2b3556760c5cca794cbeefe499a01f12,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/load-balancer-host-project/regions/europe-west3/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/2b49cd60d004c51f7475d16c6396f262,PRIMITIVE_ROLES_USED,3,831414143527,//cloudresourcemanager.googleapis.com/projects/831414143527,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/2c422b077490c2d4bfa58859068d1a4a,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/europe-west2/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/2c6fb6f11840b3a8e9fa59edd081365a,NETWORK_NOT_MONITORED,4,1056245351413,//cloudresourcemanager.googleapis.com/projects/1056245351413,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/2d98df10b9841b5c264d2e54f1b2d552,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/us-east4/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/2dba04e392b487b6c7aaff702dee6e15,CUSTOM_ROLE_NOT_MONITORED,4,1037904964071,//cloudresourcemanager.googleapis.com/projects/1037904964071,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/2ebb332465f45b96ce92d1e5c02d284a,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/us-west1/subnetworks/default,Project
